,Bi_Grams,Freq
2547,نہ ہوا,46
388,کیا ہے,45
415,ہے کہ,40
2103,نہ ہو,34
1144,میں ہے,29
1188,ہم نے,28
480,کے لیے,25
4437,مجھ کو,25
3644,اُس کو,23
1108,ہوں میں,23
687,کیوں نہ,23
3643,کہیں اُس,23
734,نہیں آتی,23
412,ہے یہ,22
971,نہیں ہے,22
1026,میں بھی,21
449,جل گیا,20
1112,میں نے,19
1163,دل کا,19
2903,دل میں,18
11987,سے گزر,18
5724,ہو گئیں,17
357,اس کی,17
8664,گے کیا,16
1805,ہے تو,16
7504,بھی نہیں,16
4,مرے آگے,15
4364,دیکھتے ہیں,15
1256,یا رب,15
476,ہے وہ,15
5080,تجھ سے,15
6530,کیوں ہو,15
7839,کہ یوں,14
4155,ہو تو,14
660,نہ ہوتا,14
526,ہوا ہے,13
7710,کو میں,13
1413,میں ہوں,13
336,میں وہ,13
387,تو کیا,13
3554,میں نہ,12
3912,کئے ہوئے,12
11428,دیکھ لیا,12
5284,کی طرح,12
1462,کہ میں,12
1084,کی ہے,12
482,ہم کو,12
1475,کا نہ,12
210,ہے نہ,12
7180,نہیں ہوں,12
11427,کے دیکھ,12
182,میں تو,12
939,مجھ سے,12
5100,ہے یا,12
6988,کچھ تو,11
121,ہے مجھے,11
748,رات بھر,11
1449,تو نے,11
13085,اور بھی,11
6262,ہی کیوں,11
4244,ہر اک,11
479,جس کے,11
1476,نہ پوچھ,11
2813,نہ کر,11
6,ہوتا ہے,11
1204,سے ہے,11
5904,آ گیا,11
2670,پسند آیا,10
350,جس کو,10
7901,بھی ہے,10
4363,کو دیکھتے,10
173,کیا کیا,10
2303,اس کے,10
118,ہے جو,10
10372,یاد آیا,10
916,اس کو,10
3958,دل کو,10
3652,کو نہ,10
600,کو یہ,10
6386,کے پانو,10
810,کو بھی,10
2853,دل کی,10
10195,ہوتا تو,10
2768,کر رہا,9
260,پردے میں,9
354,و دل,9
3985,دل و,9
970,میں نہیں,9
727,جو نہ,9
5887,ان کی,9
1131,ہوتے تک,9
7407,میں خاک,9
11478,نہ تھے,9
593,دل سے,9
665,کس سے,9
11348,آخر شب,9
3584,سے دل,9
3253,تم نے,9
920,ہم سے,9
2481,ہے دل,9
169,آتا ہے,9
1609,گھر میں,9
9497,نہ بنے,9
1003,تھا کہ,9
3174,ہو نہ,9
2435,کا ہے,8
1887,کہ ہے,8
7622,خاک نہیں,8
5112,کہیں جسے,8
980,دیکھ کر,8
295,غم سے,8
9755,نہیں رہا,8
1305,اس کا,8
4038,چاہتا ہوں,8
666,سے میں,8
1656,مر گیا,8
13086,بھی ہیں,8
2746,مرد تھا,8
2799,عشق کی,8
1911,عشق و,8
1013,درد کی,8
1441,ہوں اور,8
7012,کیا ہوتا,8
2503,خواب میں,8
1884,کرے ہے,8
772,آتی ہے,8
392,کہ یہ,8
335,بزم میں,8
473,تو پھر,8
8223,جس نے,8
1640,جس کا,8
69,کہتے ہو,8
10027,کیے ہوئے,8
1107,کرتا ہوں,8
11464,بھی ہو,8
10226,تو خدا,8
429,رہا ہے,8
4371,ہیں وہ,8
2165,ہیں کہ,8
654,کہ دل,7
3711,جس سے,7
447,دل بھی,7
417,ہے ہم,7
3665,خدا کی,7
3907,ہوئی ہے,7
9247,کے پاس,7
4747,ہے اسد,7
1236,سے ہو,7
209,تو ہے,7
655,دل ہے,7
1448,جو تو,7
3268,نے کیا,7
2546,تسلی نہ,7
7317,نے نہ,7
948,جہاں میں,7
1164,کا کیا,7
16798,پہ یارو,7
10225,تھا کچھ,7
1488,تھے ہم,7
14834,تیرا ہے,7
1681,تھا یہ,7
2345,اس قدر,7
11641,رہی رات,7
2785,اب اس,7
2784,ہے اب,7
3603,میں کیا,7
3088,تجھ کو,7
4381,ان کو,7
1810,راز کا,7
9973,نہیں ہوتا,7
5580,کہتے ہیں,7
16480,نہ آئیں,7
8494,تو دے,7
12766,نہیں باقی,7
2904,میں پھر,7
2198,اس سے,7
7776,کے ساتھ,7
2770,تھا میں,6
4592,کس کو,6
2302,میں اس,6
2794,جاتی ہے,6
15849,یا میرا,6
1014,کی دوا,6
4368,کو کبھی,6
3240,کیا ہوا,6
6347,غیر سے,6
755,دل پہ,6
407,کہ وہ,6
6537,ہو وہ,6
4389,دست و,6
1453,دار تھا,6
222,گے ہم,6
3402,ہے کس,6
314,ہے غیر,6
4728,غیر از,6
2570,نے چاہا,6
2736,گیا جو,6
12066,تو نہیں,6
4248,تھا واں,6
2526,نظر میں,6
5004,رہے ہیں,6
741,کا ایک,6
12067,نہیں تھا,6
3086,دل نہیں,6
832,تم کو,6
2765,نسخہ ہائے,6
584,تو نہ,6
2766,ہائے وفا,6
678,ایک بار,6
2898,مشکل ہے,6
907,پیچ و,6
1879,باز کا,6
4637,ہے اس,6
11854,نہ وہ,6
695,نہ کہیں,6
13169,ہے بے,6
292,سے پہلے,6
16563,نہیں ھوں,6
12398,ایسے نہیں,6
101,ہے میں,6
1809,ہائے راز,6
380,ہر ایک,6
4281,جلوہٴ گل,6
4529,ہے غالب,6
988,مے خانہ,6
8102,نہیں کرتے,6
6181,ہو کہ,6
3195,مزا پایا,6
2582,بھی راضی,6
7019,اور سہی,6
1502,کس کا,6
12311,گزرے تھا,6
2623,وہ بھی,6
1242,ہر رنگ,6
761,پر نہیں,6
2875,نکلا دل,6
10669,کچھ بھی,6
1811,کا یاں,6
2619,کیجے ہم,6
5673,چمن میں,6
794,گر نہیں,6
1340,پر ہے,6
1439,تھا اب,6
3664,کو خدا,6
2749,زندگی میں,6
5525,کچھ نہ,6
2571,چاہا تھا,6
6599,ہے جس,5
1073,و گل,5
7929,کس طرح,5
3869,کے بعد,5
3189,عشق سے,5
3196,پایا درد,5
1882,کا دل,5
499,دو چار,5
2153,خوں ہے,5
470,سے نہ,5
16546,اقبال کے,5
1400,کا یہ,5
560,ہم تو,5
7361,تو سہی,5
1637,وہ دل,5
398,میں یہ,5
1876,ہے سر,5
3093,کی بہار,5
2319,باقی ہے,5
3613,دنیا میں,5
2367,کا کہ,5
1313,سے وہ,5
3856,نہ تھا,5
3614,میں ہیں,5
351,کو ہو,5
14223,ہو جس,5
2747,تھا تھا,5
1833,کا تو,5
1491,عشق کو,5
3849,آ کے,5
2592,ہی سہی,5
54,کہ کیا,5
1489,ہم بھی,5
2778,دل تا,5
330,راہ میں,5
2907,نے اک,5
4423,اس نے,5
8079,کرتی ہے,5
827,منہ سے,5
8231,کو کہ,5
821,کی موت,5
2605,کرنے میں,5
4403,کو کیا,5
683,ہم جو,5
1048,اے خدا,5
1331,ہے میری,5
2045,لیکن اب,5
1669,ہے تیری,5
1004,کہ ہم,5
1931,بھی جو,5
13953,میں فقط,5
8650,غالب کہ,5
13386,خدا کے,5
2845,عریاں نکلا,5
2057,ہے دم,5
7654,رہگزر میں,5
3645,کو تو,5
3593,ہو گیا,5
1456,میں میری,5
2053,گل سے,5
2052,بوئے گل,5
565,جانا کہ,5
10878,تھا وہ,5
4120,ہیں ہم,5
624,غم گسار,5
6721,ہوں کہ,5
639,سمجھ رہے,5
3258,ناصح نے,5
1430,کا مجھے,5
2504,میں آ,5
641,ہو یہ,5
809,سے ہم,5
2247,کچھ اور,5
1572,لے کے,5
3032,سے بے,5
1806,تو ہی,5
5055,ہے اے,5
2617,کی شکایت,5
4088,کسی کے,5
4898,سے ہیں,5
2660,کہ جو,5
2350,کا وہ,5
1358,در پہ,5
1197,جائیں گے,5
14480,و نظر,5
8727,عشق کے,5
667,میں کہ,5
3264,آپ سے,5
9313,کرتا ہے,5
3773,خاک کہ,5
590,ہوتا کوئی,5
803,چارہ گر,5
4023,ہے پهر,5
5583,میں کچھ,5
2769,رہا تھا,5
2455,ہے میرے,5
4020,کئے ہوے,5
1816,ہے پردہ,5
1565,دو عالم,5
3265,سے کوئی,5
2630,لب سے,5
603,کہاں سے,5
773,ہے کچھ,5
3520,پر ہوا,5
583,کبھی تو,5
10001,تو یوں,4
3197,دوا پائی,4
5173,میں کس,4
9546,کيا ہے,4
5623,کیا کہ,4
2756,اڑنے سے,4
8180,عشق کا,4
3194,کا مزا,4
8757,میں رہیں,4
1080,کو ان,4
2755,ہوا اڑنے,4
1081,ان سے,4
13456,اقبال کا,4
3183,کہاں کہ,4
2831,کرے عجب,4
65,ہے تیرا,4
2354,ہم بے,4
3182,دل کہاں,4
13195,بنے گا,4
3192,نے زیست,4
2541,دہر میں,4
6616,تم ہو,4
10020,ہو یا,4
6366,کے در,4
2511,نہیں معلوم,4
4212,ہیں اور,4
13616,خس و,4
598,نیم کش,4
